"docID","text"
1267916112588611584,"moore packed game played fun dont sk"
1267307598635827200,"protests protests reporters mugged assaulted birminghamskip mins"
1267542205763407872,"lot influencers quiet past weekend youre obligated speak black issues"
1268017007976484864,"participating blackouttuesday make hashtag blackouttuesday blacklivesmatter"
1267297985584484352,"noah reube wendrow charges felony riot released portlandmugshots antifa blacklivesmatter"
1267530048896000000,"mesmerized mob mentality people dont loot damage property sudden"
1267537256669200384,"dude vice president years years politics"
1267304688065617920,"powerful rt deserves viral cops atlanta walking peaceful protesters blacklivesmatter blm ht"
1266537088666779648,"prairie bet anitifa fake news media sides"
1267990316826705920,"today udupi district recorded coronavirus positive cases kindly stop entry people maharashtra ca"
1267497622782095360,"stop sharing video cops taking knee love god theyre refusing orders gas terrorize prot"
1267825442276257792,"dont show bit lung youve saving zombie"
1267899850525495296,"yeah unicorn hes awesome"
1267308213214556160,"hold pop concert middle protests georgefloydprotests protests"
1267513257478295552,"practicing smut dialogue bubbles shojis intent spoil shoto breaking oops"
1267464898365124608,"happen park destruction averse american military exists unicorn farm"
1267618042781011968,"pride monkey rainbow flag ingredients usernourisfamous"
1267285640598523904,"blacklivesmatter hate alllivesmatter cozblmis racialsupremacy antifademocratsradicalistsfor world"
1267644576950398976,"innovation infection control model predicts peaks covid pandemic"
1267643858235596800,"wrote thing long term care moment campaign trail"
1267304114272288768,"blacklivesmatter march today city amazing"
1267966417879601152,"lol fuck fools wait rainbow lights"
1267631986086014976,"bang ye dam treasure wayo moving poster digital single mv release pm naver tv"
1267987103536775168,"april kenya dubious distinction leading world number citizens killed ke officers"
1267546796865306624,"winged unicorn fairy head heels action booties petite mermaid fairy marilyn monroe heels royale"
1267306582301241344,"bunkerboy cadet bone spurs"
1267942227734560768,"people ot cruel army"
1268017345039081472,"hands dont shoot los angeles ca today blacklivesmatter"
1267874529805611008,"protest peacefully white people couldnt slaves"
1267910804260687872,"meant fuck police"
1267635083516825600,"life worth wonderful end road rainbo"
1267708357516963840,"witcher geralt met oneiromancer offering crowns golyat geralt acceptrejecthaggle price"
1266536347139035136,"terrence cnn reporting listen"
1267988466005995520,"check taylor corporation employee cases covid mgmt protect employees em"
1267304413099589632,"lock door throw key bunkerbitch bunkerboy"
1267928778405265408,"rainbow deal rain"
1267699129389547520,"extremely powerful racist comments find pink unicorn"
1267308045148848128,"love white people part hate looting burning shit"
1267650007441780736,"nurses fired taking action inadequate ppe covid safety concerns"
1267792258188918784,"cop dozen complaints city state run de miss id expected protest ma"
1267992698386034688,"making money stocks faster painful absorber pains bought tsla work"
1267700435994980352,"anayalator lmaoo bitch laying tryna sleep started thinking"
1267402640889176064,"isnt happening america happening blacklivesmatters ma"
1267304399132667904,"bravo stands solidarity black community systemic racism oppression experienced day america"
1267540128974716928,"turn favorite song dance dance dance distortion turn repeat stumblin"
1267651741928980480,"people returned chennai test covid positive tripura tally cm biplab kumar deb"
1267165679993720832,"fuck magic fuck mtg pay usd tcg product single"
1267614642114834432,"joe waterbury great shot rainbow evening share"
1267966546489610240,"terraria assassins creed general rainbow siege"
1268016240460795904,"peaceful protest roswell georgia blacklivesmatter icantbreathe justiceforgeorgefloyd"
1267807682238599168,"alien invasion september zombie apocalypse christmas"
1266406706990415872,"rofl double masters vip trolling real mtg product"
1267304153639989248,"uhhhhhhhh police smashing windows downtown protests blacklivesmatter"
1266537365822156800,"cnn hq aint"
1267459223992107008,"colluding organizing riots ensure trump victory november cut interview short"
1267990106507317248,"smt rekha devi himayatnagar hyderabad donated pm cares fund im happy people cont"
1267985339718733824,"trump lost interest covid hes stopped meeting fauci hes back calling cuomo names people"
1267651509237383168,"covid lockdown failed reopenamerica theyre crash trumps economy msdnc knowingly"
1267304178575122432,"shut pay attention problems country victimizing media billion"
1267304995294085120,"esp relevant black job shut listen blacklivesmatter"
1267947735946276864,"young rainbow starfrontlet luis alcivar photography nature naturephotography birds"
1267546538814865408,"ax zombie apocalypse coming december"
1267649782979280896,"alcohol protect covid strong resilient role model stay calm"
1267294672780693504,"reichstag fire decree permitted german reich regime arrest incarcerate political opponents specific"
1267602266950950912,"side note shout kate spade making cutest rainbow bags bought mine happypridemonth"
1267588750101659648,"taste fucking rainbow"
1266536996215848960,"omar jimenezs mom grandmother watched arrest morning grandmother arrested civil"
1267578746917097472,"bots incapable taking relevant screenshots nice zombie process"
1268017306191515648,"stand protests blm mans life mattered period"
1267309721087889408,"bunker bunkerpresident bunkerboy protests protests suspicious"
1267978798852644864,"neurodiversity patches back stock support queer disabled small business image"
1267927627190489088,"enjoying video collages jaw part lbrys paid content beta check video man saves"
1265480164219256832,"abercrombie kids girls pull jeggings dark wash size nwt ebay sale mtg"
1267659088491503616,"called voices arent frontlines protesting hid"
1267621151720824832,"starlite shirt starlite rainbowbrite iridella horse rainbow"
1267979498672189440,"friend rainbow pins pride"
1267988657748807680,"remotely true youre anymore bunkerboy trumpdictatorship"
1267514127725068288,"fun begin mtg mtg"
1268006342725382144,"end game arrests mn cops taking knee blacking"
1267626925666848768,"rainbow speak enchantment table tho"
1267304893460733952,"blacklivesmatter yourlifematters youmatter"
1268017004859977728,"explain feeling protest untill marching shouting"
1267936195213836288,"journey rainbows end drag queens odyssey forrest stepnowski"
1267307565060198400,"protests listen opinion give positive message due riots"
1268004178175102976,"additional units heading nycprotests nycscannerduty"
1267989557825265664,"nigeria nation reach peak covid pandemic confirmed cases continued rise surpassed"
1266536746059259904,"bahahaha dumbarses hell cnn reporters news anchors idiots"
1267579470409498624,"im clean house plan zombie apocalypse"
1267914482325561344,"condemn tear gas montreal literally days ago"
1267642415449440256,"canada taiwan working combat covid scientific technical exchanges commercial cooperation"
1267303846226747392,"pray theyll hear message make change peace"
1268016679231139840,"babygirl blacklivesmatter"
1267590012465545216,"pride month activity work putting peppers kabobs order rainbow red oramge yellow greeb"
1267960034434129920,"eve pride month rainbow pin"
1267626419556941824,"pride month begin days rainbow fueled festivities year rea"
